,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Técnicas,,Patrones,,Estructuras de datos,,,Grafos y optimización,,,AI y Mineria,,Matemáticas,,,Probabilidad y simulación,,Markov,,,Cadenas,,Análisis de datos,,Geométricos,,Control,,Decisión,,Lógica
,80,1,Greedy,1,Object Pool,1,Arrays,,1,DFS,,1,Perceptron,1,Primos manera simple,,1,Naive-Bayes,1,Operaciones con Matriz de Transición,,1,Longest Common Subsequent,1,Fast Fourier Transform,1,Algoritmo de Graham Bell,,,,,,
,,2,Divide y venceras,2,Abstract Factory,2,Listas enlazadas,,2,BFS,,2,Entrenamiento LMS y Retropropagación,2,Primos por criba,,2,Redes Bayesianas,2,Cálculo de Estacionario,,2,KMP,2,MLSE,,,,,,,,
,,3,Programación Dinámica,3,Builder,3,Arboles binarios AVL,,3,A*,,3,C4.5,3,Algoritmo de Euclides,,3,Calculo de colas Mms,3,Cálculo de Estados Absorventes,,3,Huffman Tree,,,,,,,,,,
,,4,Backtracking,4,Factory method,4,Arboles binarios Red-Black,,4,Dijkstra,,4,RandomForest,4,Multiplicación de Matrices,,,,4,Algoritmo Value-Iteration,,4,Base64 y UUEncode,,,,,,,,,,
,,,,5,Singleton,5,Hash Tables,,5,Bellman-Ford,,5,Knn,5,Eliminación Gauss-Jordan,,,,5,Algoritmo Policy Iteration,,,,,,,,,,,,,
,,,,6,Adapter,6,Sets,,6,FloydWarshall,,6,K mean,,,,,,6,Stochastic Shortest Path,,,,,,,,,,,,,
,,,,7,Decorator,7,Grafos,,7,Prim,,7,Pagerank,,,,,,7,Algoritmo de Viterbi,,,,,,,,,,,,,
,,,,8,Proxy,8,Union-Find,,8,Kruskal,,,,,,,,,8,Algoritmo de Baum-Welch,,,,,,,,,,,,,
,,,,9,Chain of responsibility,9,Montículo,,9,Problema Mochila,,,,,,,,,9,Algoritmo de Avance Retroceso,,,,,,,,,,,,,
,,,,10,Command,,,,10,Problema Viajante,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,Interpreter,,,,11,Simplex,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,Iterator,,,,12,Branch And Bound,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,Observer,,,,13,Gomory,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,Strategy,,,,14,Busqueda Local,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,Algoritmos Genéticos,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,16,Colonia de Hormigas,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,17,Búsqueda Tabú,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,Templado Simulado,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,19,Metodo del Gradiente,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,20,Minimos Cuadrados,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,Constraint Programming,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,22,Orden topológico,,,,,,,,,,,,,,,,,,,,,,,
